model,task,horizon_hours,hour,n_samples,rmse,mae,mape,mean_abs_error
Prophet,seq6,1,6,221,8.937642424599476,5.991875921476232,20.81198498199425,5.991875921476232
Prophet,seq6,1,7,221,7.5017949756248035,5.582428691684107,21.557743261444763,5.582428691684107
Prophet,seq6,1,8,221,7.992799238124293,6.541237208506954,24.840605101688965,6.541237208506954
Prophet,seq6,1,9,221,8.764484059660393,6.997998793081689,28.145823864798864,6.997998793081689
Prophet,seq6,1,10,221,10.1343439235948,7.831198892434731,29.660399664443656,7.831198892434731
Prophet,seq6,1,11,221,9.965313513809043,6.898422321250122,27.214558857777167,6.898422321250122
Prophet,seq6,1,12,221,8.770564045779155,6.622127313449133,25.990489622005793,6.622127313449133
Prophet,seq6,1,13,221,8.28071974876081,6.146854746057139,24.275460028627485,6.146854746057139
Prophet,seq6,1,14,221,8.73382228535707,6.77124765447917,29.664159676986646,6.77124765447917
Prophet,seq6,1,15,221,9.536338983930873,6.871478756712639,31.886063748318954,6.871478756712639
Prophet,seq6,1,16,221,8.064029007999556,6.387620534796127,28.26425730646209,6.387620534796127
Prophet,seq6,1,17,221,8.896117435036045,6.327758509138326,25.62784328541593,6.327758509138326
Prophet,seq6,1,18,221,9.294042473888187,6.551930020587964,25.11594091989079,6.551930020587964
Prophet,seq6,1,19,221,9.084809345184661,7.024660969915387,25.477132295519745,7.024660969915387
Prophet,seq6,1,20,221,8.855670042518517,6.759053004238572,23.529302106008473,6.759053004238572
Prophet,seq6,1,21,221,9.991534149988459,7.190568634481405,23.281197652260634,7.190568634481405
Prophet,seq6,1,22,221,8.95517380243891,6.395878062842731,20.465493640359465,6.395878062842731
Prophet,seq6,1,23,221,7.406290289575882,5.262469564346747,15.174925333758122,5.262469564346747
Prophet,seq6,2,0,220,38.49186907101842,17.345912502835766,47.709619269001905,17.345912502835766
Prophet,seq6,2,1,220,37.40432329765279,17.451714664088453,48.72586365589062,17.451714664088453
Prophet,seq6,2,2,220,20.710979914322774,12.714412945507439,35.42176905901439,12.714412945507439
Prophet,seq6,2,3,220,21.488034898362383,11.75092589951567,37.31686435801596,11.75092589951567
Prophet,seq6,2,4,220,17.179075358023915,10.847106560424763,39.94037733279877,10.847106560424763
Prophet,seq6,2,5,221,13.908262225951164,9.678948474560713,32.280662583849036,9.678948474560713
Prophet,seq6,2,6,221,16.2147974219558,10.82994137823052,36.11379831157173,10.82994137823052
Prophet,seq6,2,7,221,15.452288551195021,10.423707772816822,39.63535549034049,10.423707772816822
Prophet,seq6,2,8,221,14.701368533736368,11.381566830274327,42.89652667192725,11.381566830274327
Prophet,seq6,2,9,221,15.87808749098812,12.710909980037464,50.17625977313222,12.710909980037464
Prophet,seq6,2,10,221,18.392519716284003,14.374143387421647,56.743079598897296,14.374143387421647
Prophet,seq6,2,11,221,19.45869984669119,14.025834036484433,57.84848184600474,14.025834036484433
Prophet,seq6,2,12,221,17.088659720681036,12.74263569960278,51.33168866631208,12.74263569960278
Prophet,seq6,2,13,221,14.910315406137162,11.497602782195745,44.80330590439864,11.497602782195745
Prophet,seq6,2,14,221,15.423652513379725,11.691981292544359,48.06971092941747,11.691981292544359
Prophet,seq6,2,15,221,17.69922216151912,12.807182942608273,56.81822765851416,12.807182942608273
Prophet,seq6,2,16,221,15.888476776682742,12.09091511803785,60.22500707828525,12.09091511803785
Prophet,seq6,2,17,221,15.858605299980114,11.710901181608806,47.44973506824327,11.710901181608806
Prophet,seq6,2,18,221,16.458628156722504,12.086682081404318,45.81182703713085,12.086682081404318
Prophet,seq6,2,19,221,17.582559980611805,12.75481016076728,46.920363030428526,12.75481016076728
Prophet,seq6,2,20,221,15.588393391002604,12.484909017803629,44.72992902244803,12.484909017803629
Prophet,seq6,2,21,221,17.529009859703322,12.75646274806773,45.88349377238249,12.75646274806773
Prophet,seq6,2,22,221,17.763295258935916,13.006152525995008,45.04347593477193,13.006152525995008
Prophet,seq6,2,23,221,14.47546348816375,10.321852376777112,32.77459241771368,10.321852376777112
Prophet,seq6,3,0,220,39.25345936785988,20.24327970950095,58.2134549043976,20.24327970950095
Prophet,seq6,3,1,220,38.37194151983134,19.523964917133444,55.890466870808574,19.523964917133444
Prophet,seq6,3,2,220,36.964809970476104,20.01739427197741,59.83961468733299,20.01739427197741
Prophet,seq6,3,3,220,30.132780595358962,16.590073151777478,50.18703452562144,16.590073151777478
