model,task,horizon_hours,dayperiod,n_samples,rmse,mae,mape,mean_abs_error
XGBoost,seq6,3,night,663,20.347774718664294,12.880291764400752,33.23589295886954,12.880291764400752
XGBoost,seq6,3,overnight,1321,31.303109722202496,16.406112881793522,38.98934270813451,16.406112881793522
XGBoost,seq6,4,daytime,1547,24.585820622100123,14.858888390477755,38.65781598808998,14.858888390477755
XGBoost,seq6,4,evening_peak,884,24.837393313019295,14.83139511143435,36.88535127881933,14.83139511143435
XGBoost,seq6,4,morning_peak,884,23.075440125525184,14.457106311016023,38.53738432366931,14.457106311016023
XGBoost,seq6,4,night,663,23.51815585084389,15.147092039059737,40.814554266693634,15.147092039059737
XGBoost,seq6,4,overnight,1321,35.701993295666576,20.324466943324154,51.786802679162236,20.324466943324154
XGBoost,seq6,5,daytime,1547,27.940895200164793,17.64166121462393,52.32188914492001,17.64166121462393
XGBoost,seq6,5,evening_peak,884,29.247518990399062,17.38852647329705,45.29727883221736,17.38852647329705
XGBoost,seq6,5,morning_peak,884,27.339442979488993,17.591313196888983,50.104508331984995,17.591313196888983
XGBoost,seq6,5,night,663,26.087792246133933,17.14269234929702,46.12097525110192,17.14269234929702
XGBoost,seq6,5,overnight,1321,38.67215535931043,23.492253888476505,65.46299800848497,23.492253888476505
XGBoost,seq6,6,daytime,1547,31.42710815221979,20.555460671750296,67.58159025726718,20.555460671750296
XGBoost,seq6,6,evening_peak,884,31.566997683837634,19.539974905608716,53.93905425636953,19.539974905608716
XGBoost,seq6,6,morning_peak,884,30.62437859651971,20.40156103580851,59.59246886069389,20.40156103580851
XGBoost,seq6,6,night,663,29.342819227727126,19.295626832397275,53.69689125196513,19.295626832397275
XGBoost,seq6,6,overnight,1320,40.74588889432472,25.476994360497816,75.02393375350387,25.476994360497816
